"","Site.of.Cancer","Average.Annual.Cases.malefemale","incidence.rate.per.100.000.Population.malefemale","incidence.95lower.malefemale","incidence.95upper.malefemale","Average.Annual.Cases.male","incidence.rate.per.100.000.male","incidence.95lower.male","incidence.95upper.male","Average.Annual.Cases.female","Rate.per.100.000.female","incidence.95lower.female","incidence.95upper.female","Average.Annual.Deaths.malefemale","mortality.rate.per.100.000.Population.malefemale","mortality.95lower.malefemale","mortality.95upper.malefemale","Average.Annual.Deaths.male","mortality.rate.per.100.000.male","mortality.95lower.male","mortality.95upper.male","Average.Annual.Deaths.female","mortality.rate.per.100.000.female","mortality.95lower.female","mortality.95upper.female","county.name"
"500","Colon excluding rectum",21.4,30.7,24.9,37.6,10.6,31.2,23.1,41.4,10.8,30.3,22.2,40.7,6.2,9.5,6.3,14,2.8,8.6,4.5,15.1,3.4,10.4,5.7,17.8,"Greene"
"501","Rectum & rectosigmoid",9,13.9,9.9,19.1,5.4,15,9.7,22.6,3.6,13.1,7.5,21.5,2.6,4,2,7.2,1.6,4.9,2,10.3,1,3.1,1,8.2,"Greene"
"502","Liver / intrahepatic bile duct",4.2,5.1,3.1,8.1,3.8,9.4,5.6,15.4,0.4,0.8,0.1,4.7,4.2,4.9,3,7.9,3.2,7.7,4.4,13.3,1,2.2,0.7,6.4,"Greene"
"503","Pancreas",13.2,18.3,14,23.7,7.8,22,15.4,30.8,5.4,14.3,9.3,21.6,12.4,17.2,13.1,22.5,7.2,20.2,13.9,28.7,5.2,14.6,9.4,22.3,"Greene"
"504","Larynx",3,4.3,2.3,7.6,2.6,7.7,3.9,14,0.4,1,0.1,5,1,1.3,0.4,3.4,0.6,1.8,0.4,6,0.4,1,0.1,5,"Greene"
"505","Lung and bronchus",60.4,79.9,71,89.9,31.4,86.5,73.2,101.9,29,74.1,62.2,88.1,34.6,45.9,39.2,53.7,19.2,53.9,43.4,66.5,15.4,38.3,30,48.8,"Greene"
"506","Melanoma of the skin",11.4,16.6,12.3,21.9,7.8,23,16.1,32.3,3.6,11.3,6.4,18.8,1.6,1.8,0.8,4.1,1.2,2.9,1.1,7.3,0.4,0.9,0.1,4.8,"Greene"
"507","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,43.2,124.9,107.6,144.5,NA,NA,NA,NA,NA,NA,NA,NA,7,21.6,14.4,31.4,"Greene"
"508","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.6,6.6,2.6,13.8,NA,NA,NA,NA,NA,NA,NA,NA,0.8,3.5,0.8,9.5,"Greene"
"509","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,12.8,36,27.4,47.1,NA,NA,NA,NA,NA,NA,NA,NA,2,4.8,2.3,9.9,"Greene"
"510","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4.6,12.2,7.6,19.4,NA,NA,NA,NA,NA,NA,NA,NA,3.2,8.4,4.7,14.6,"Greene"
"511","Prostate",NA,NA,NA,NA,39.2,99.2,85.6,114.9,NA,NA,NA,NA,NA,NA,NA,NA,4.6,12.8,8,19.8,NA,NA,NA,NA,"Greene"
"512","Testis",NA,NA,NA,NA,1.2,5.6,2,12.2,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.9,0,4.9,NA,NA,NA,NA,"Greene"
"513","Urinary bladder (incl. in situ)",22,30.6,24.9,37.3,17.8,51,40.8,63.5,4.2,11.5,6.8,18.7,5,6.5,4.2,9.9,4.2,11.8,7.2,18.6,0.8,2,0.5,6.3,"Greene"
"514","Kidney and renal pelvis",12.4,17.1,12.9,22.5,7.6,20.8,14.5,29.4,4.8,13.7,8.4,21.6,3,3.9,2.2,6.9,2,5.3,2.5,10.5,1,2.1,0.7,6.3,"Greene"
"515","Brain and other central nervous system",3.2,5.2,2.8,9,2.2,6.8,3.3,12.8,1,4,1,10.3,2.4,3.2,1.6,6,1.8,4.8,2.2,9.8,0.6,1.3,0.3,5.3,"Greene"
"516","Thyroid",14,25.7,19.5,33.1,4.2,14.7,8.7,23.3,9.8,37.9,27.1,51.5,1.2,1.5,0.5,3.8,0.6,1.7,0.3,5.9,0.6,1.2,0.3,5.2,"Greene"
"517","Hodgkin lymphoma",2.4,4.8,2.4,8.6,1.6,5.8,2.5,11.9,0.8,3.5,0.8,9.5,0.2,0.6,0,3,0.2,1.2,0,5.8,0,0,0,3.7,"Greene"
"518","Non-Hodgkin lymphomas",15.2,22.7,17.6,28.9,6.8,21.7,14.9,31,8.4,24.5,17.1,34.3,6,8.8,5.9,12.9,4.4,13.4,8.3,20.9,1.6,4.3,1.8,9.4,"Greene"
"519","Myeloma",4.6,6.4,4,9.9,3.4,9.7,5.6,16.1,1.2,3.1,1.1,7.8,2.4,3.3,1.7,6.1,1,3.1,1,7.9,1.4,3.5,1.4,8.2,"Greene"
"520","Leukemias",12.4,17.8,13.4,23.3,8,21.7,15.4,30.3,4.4,13.9,8.3,22.2,4.4,5.9,3.7,9.3,2.4,6.8,3.4,12.5,2,5.1,2.3,10.5,"Greene"
"521","All Invasive Malignant Tumors",46.2,531.4,455.7,619.3,25.2,547.4,444.7,674.7,21,515.7,407.4,650.3,18.4,203.6,161.3,257.9,10.8,222.7,166,304.1,7.6,185.3,125.6,272.5,"Hamilton"
"522","Oral cavity and pharynx",1,9.9,3.2,33.9,0.8,15.9,4.2,63.6,0.2,3.7,0.1,49.4,0.2,3.4,0.1,27.4,0.2,6.6,0.2,54.9,0,0,0,45.8,"Hamilton"
"523","Esophagus",0.8,11.1,2.4,38.2,0.6,11.9,2.3,59,0.2,10.6,0.3,63.9,0.6,9.5,1.5,36.4,0.4,9,1.1,56.1,0.2,10.6,0.3,63.9,"Hamilton"
"524","Stomach",0.8,8.6,2.1,33,0.6,13.3,2.4,61.7,0.2,3.7,0.1,49.4,0.2,3.4,0.1,27.4,0.2,6.6,0.2,54.9,0,0,0,45.8,"Hamilton"
"525","Colorectal",4.4,45.9,27.7,78.1,2,36.6,17.1,87.4,2.4,55.4,26.7,114.7,2,21.2,10,47.7,0.8,14.8,3.8,62,1.2,27.6,10,78.4,"Hamilton"
"526","Colon excluding rectum",3.2,33.4,18,63.5,1.2,21.1,7.4,69.1,2,44.6,19.4,101.4,1.4,16.3,6.5,42.2,0.2,4.7,0.1,51.3,1.2,27.6,10,78.4,"Hamilton"
"527","Rectum & rectosigmoid",1.2,12.5,4.5,37.2,0.8,15.5,4.1,62.9,0.4,10.8,1.3,58.8,0.6,4.9,1,27.7,0.6,10.1,2,56.4,0,0,0,45.8,"Hamilton"
"528","Liver / intrahepatic bile duct",0.6,5.9,1.2,29.2,0.6,11.3,2.3,58.1,0,0,0,45.8,0.2,1.5,0,24.2,0.2,3,0.1,48.9,0,0,0,45.8,"Hamilton"
"529","Pancreas",2.4,24.4,12.4,51.4,1.6,31,13.1,81.2,0.8,17.6,4.6,66.1,1.4,14.4,5.7,39.4,0.6,12,2.4,59.1,0.8,18.2,4.8,66.9,"Hamilton"
"530","Lung and bronchus",6.6,71.9,48.3,108.7,4,78.2,47.1,137.2,2.6,63.8,31.9,126.2,5.6,63,40.8,98.7,3.8,80.4,47.9,141,1.8,45,18.6,103.6,"Hamilton"
"531","Melanoma of the skin",2,21.9,9.4,50.1,1.4,26.5,10.3,75.7,0.6,17.8,2.6,71.3,0.2,1.5,0,24.2,0.2,3,0.1,48.9,0,0,0,45.8,"Hamilton"
"532","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,6.8,161,104.3,245.9,NA,NA,NA,NA,NA,NA,NA,NA,1.2,34.7,9.2,96.9,"Hamilton"
"533","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,0.2,2.9,0.1,48.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,45.8,"Hamilton"
"534","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,1.4,42.3,11.9,110.4,NA,NA,NA,NA,NA,NA,NA,NA,0.2,5.4,0.1,52.2,"Hamilton"
"535","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,0.4,9.1,1,56.1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,5.4,0.1,52.2,"Hamilton"
"536","Prostate",NA,NA,NA,NA,4.4,92.2,56.7,155.3,NA,NA,NA,NA,NA,NA,NA,NA,1,20.1,6.4,68.5,NA,NA,NA,NA,"Hamilton"
"537","Urinary bladder (incl. in situ)",2.8,29.3,15.8,57.3,2.6,54.9,28.8,110.8,0.2,4.3,0.1,50.3,0.6,6.5,1.3,30.2,0.4,9.8,1.2,57.4,0.2,3.1,0.1,48.6,"Hamilton"
"538","Kidney and renal pelvis",2,33.7,13,72.8,1.2,41.3,11.7,108.6,0.8,25.6,4.1,87,0.4,2.9,0.3,25.4,0.2,2.8,0.1,48.6,0.2,2.9,0.1,48.4,"Hamilton"
"539","Brain and other central nervous system",0.2,2.2,0.1,25.2,0,0,0,46.2,0.2,4.3,0.1,50.3,0.6,6.3,1.2,29.8,0.4,9.2,1.1,56.4,0.2,3.1,0.1,48.6,"Hamilton"
"540","Thyroid",0.6,12.1,1.7,42.5,0,0,0,46.2,0.6,24.9,3.6,86.9,0,0,0,22.9,0,0,0,46.2,0,0,0,45.8,"Hamilton"
"541","Hodgkin lymphoma",0.2,1.5,0,24.2,0.2,3,0.1,48.9,0,0,0,45.8,0,0,0,22.9,0,0,0,46.2,0,0,0,45.8,"Hamilton"
"542","Non-Hodgkin lymphomas",2.4,23.6,11.9,50.4,1,18.2,5.8,65.6,1.4,30.1,11.4,81.5,0.8,7.7,2,31.3,0.4,7.3,0.8,53.6,0.4,8.4,1,54.9,"Hamilton"
"543","Myeloma",0.6,5.1,1,28,0.2,2.8,0.1,48.6,0.4,7.2,0.8,53.1,0.2,2.5,0.1,25.6,0.2,5.1,0.1,52,0,0,0,45.8,"Hamilton"
"544","Leukemias",2,28.2,11.3,62,1.8,51.8,19.8,118.2,0.2,3.7,0.1,49.4,0.6,6.9,1.4,30.7,0.4,8.3,1,55,0.2,5.4,0.1,52.2,"Hamilton"
"545","All Invasive Malignant Tumors",456,519.1,497,542,240.4,568.3,535.4,602.9,215.6,478.8,448.9,510.3,146.2,160.1,148.3,172.6,79.6,194,174.9,214.8,66.6,132.5,118.1,148.5,"Herkimer"
"546","Oral cavity and pharynx",12.6,14,10.7,18.2,7.4,16.9,11.8,23.8,5.2,12,7.7,18.2,2.4,2.6,1.3,4.9,1.8,4.6,2,9.1,0.6,1.2,0.3,4.3,"Herkimer"
"547","Esophagus",4.8,4.7,3,7.3,4,8.7,5.2,13.8,0.8,1.3,0.3,4.2,6.6,6.8,4.7,9.8,5.8,13.2,8.8,19.3,0.8,1.3,0.4,4.3,"Herkimer"
"548","Stomach",8.2,8.7,6.2,12,6,13.9,9.3,20.3,2.2,4,2,7.8,2.4,2.4,1.2,4.4,1.4,3.4,1.3,7.4,1,1.7,0.5,4.8,"Herkimer"
"549","Colorectal",38,44.2,37.8,51.3,19,48.5,38.8,60.1,19,38.8,31.2,48,13,15.4,11.7,19.9,7.8,21.1,14.8,29.3,5.2,10.2,6.5,15.4,"Herkimer"
"550","Colon excluding rectum",26.8,31,25.8,37.1,11.4,30.1,22.4,39.6,15.4,30.7,24.1,39,9.8,11.2,8.2,15,5.8,14.8,9.8,21.7,4,8,4.8,12.8,"Herkimer"
"551","Rectum & rectosigmoid",11.2,13.1,9.8,17.4,7.6,18.5,12.8,26,3.6,8.1,4.7,13.3,3.2,4.2,2.3,7.1,2,6.3,3,11.8,1.2,2.2,0.8,5.5,"Herkimer"
"552","Liver / intrahepatic bile duct",7.2,7,4.9,9.9,6.2,13.4,9.1,19.5,1,1.8,0.6,4.9,3.8,3.9,2.3,6.3,3.4,7.7,4.4,12.8,0.4,0.7,0.1,3.4,"Herkimer"
"553","Pancreas",14.8,16.2,12.6,20.6,7.4,17.1,11.9,24.1,7.4,14.9,10.3,21.2,11,11.6,8.7,15.4,5,11.3,7.2,17.1,6,11.5,7.6,17,"Herkimer"
"554","Larynx",2.4,2.9,1.4,5.5,1.6,4.1,1.7,8.6,0.8,2,0.4,5.8,0.6,0.6,0.1,2.1,0.4,0.7,0.1,3.5,0.2,0.4,0,3.1,"Herkimer"
"555","Lung and bronchus",69.6,76.5,68.5,85.3,34.4,81.9,69.7,95.7,35.2,71.2,60.9,83.1,40.2,43.9,37.9,50.7,21.4,51.1,41.6,62.2,18.8,38,30.4,47.1,"Herkimer"
"556","Melanoma of the skin",16.8,21.3,16.7,26.7,9.2,24.2,17.5,32.7,7.6,19.8,13.5,28,2.4,3.1,1.5,5.7,1.8,4.9,2.1,9.7,0.6,1.8,0.3,5.6,"Herkimer"
"557","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,54.6,121.6,106.9,138,NA,NA,NA,NA,NA,NA,NA,NA,8.2,16.9,11.9,23.5,"Herkimer"
"558","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,2.6,9,4.7,15.6,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1,0.1,4,"Herkimer"
"559","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,15.2,33.1,25.7,42.2,NA,NA,NA,NA,NA,NA,NA,NA,3.2,6,3.4,10.3,"Herkimer"
"560","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,5.6,11.5,7.4,17.2,NA,NA,NA,NA,NA,NA,NA,NA,3.2,6.6,3.6,11.5,"Herkimer"
"561","Prostate",NA,NA,NA,NA,63.6,134.9,120.1,151.2,NA,NA,NA,NA,NA,NA,NA,NA,7.2,17.8,12.4,24.9,NA,NA,NA,NA,"Herkimer"
"562","Testis",NA,NA,NA,NA,2,6.9,3.2,12.9,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.6,0.3,5.1,NA,NA,NA,NA,"Herkimer"
"563","Urinary bladder (incl. in situ)",25.6,27.9,23.1,33.5,19.8,47.7,38.4,58.6,5.8,11.9,7.9,17.6,3,3.3,1.8,5.7,2.2,5.6,2.8,10.4,0.8,1.6,0.4,4.7,"Herkimer"
"564","Kidney and renal pelvis",16.4,19.9,15.6,25.1,10.6,27.5,20.3,36.5,5.8,13.2,8.6,19.6,2,2.4,1.1,4.6,1.2,3.3,1.2,7.5,0.8,1.5,0.4,4.6,"Herkimer"
"565","Brain and other central nervous system",7,9.3,6.3,13.3,3.6,9.6,5.6,15.6,3.4,9.3,5.1,15.5,5,5.5,3.5,8.3,2.4,5.9,3,10.7,2.6,5,2.6,9.1,"Herkimer"
"566","Thyroid",10.8,16.9,12.4,22.4,2.2,5.7,2.7,10.8,8.6,28.2,19.9,38.6,1,1.2,0.4,3,0.6,1.5,0.3,4.8,0.4,0.9,0.1,3.9,"Herkimer"
"567","Hodgkin lymphoma",2.2,3,1.4,5.7,1.2,3,1.1,7.1,1,3,0.8,7.4,0.6,0.8,0.2,2.6,0.4,1.1,0.1,4.4,0.2,0.4,0,3.1,"Herkimer"
"568","Non-Hodgkin lymphomas",17.4,19.7,15.6,24.6,10,24,17.6,32.2,7.4,15.6,10.7,22.1,4.6,5.2,3.3,8.1,2,4.9,2.3,9.4,2.6,5.3,2.7,9.6,"Herkimer"
"569","Myeloma",4.4,5.3,3.2,8.2,2.4,6.1,3.1,11,2,4.9,2.2,9.5,1.2,1.4,0.5,3.2,0.6,1.4,0.3,4.5,0.6,1.4,0.3,4.7,"Herkimer"
"570","Leukemias",16.2,18.6,14.6,23.4,9.6,23.9,17.3,32.3,6.6,13.9,9.4,20.1,6.8,7.4,5.1,10.6,4.4,11,6.8,17,2.4,4.5,2.2,8.7,"Herkimer"
"571","All Invasive Malignant Tumors",652.6,565.7,546,585.9,346,639.6,608.9,671.4,306.6,514.6,488.4,541.9,202.6,176.2,165.3,187.6,105.2,207.5,189.6,226.5,97.4,155.3,141.5,170.1,"Jefferson"
"572","Oral cavity and pharynx",18,14.7,11.8,18.2,14.4,25.3,19.6,32,3.6,5.6,3.2,9.2,3.8,3.5,2.1,5.4,3.2,6.7,3.8,10.8,0.6,0.9,0.2,2.8,"Jefferson"
"573","Esophagus",7.8,6.8,4.8,9.3,6.2,11.6,7.8,16.6,1.6,2.5,1.1,5.1,7.6,7,4.9,9.6,6.6,13.4,9.1,18.9,1,1.6,0.5,3.8,"Jefferson"
"574","Stomach",5.8,5.4,3.6,7.8,3.8,7.2,4.3,11.4,2,3.8,1.8,7.1,1.2,1.1,0.4,2.4,0.4,0.6,0.1,2.4,0.8,1.4,0.4,3.7,"Jefferson"
"575","Colorectal",55.4,48.2,42.6,54.4,27.8,53,44.3,62.8,27.6,45.4,37.9,53.9,20.6,17.9,14.5,21.7,11,22.5,16.8,29.4,9.6,14.9,10.9,19.9,"Jefferson"
"576","Colon excluding rectum",41.4,36.5,31.6,41.9,20,39.6,32.1,48.4,21.4,35,28.5,42.6,17.4,15.2,12.2,18.8,8.4,17.9,12.8,24.2,9,14.1,10.2,19,"Jefferson"
"577","Rectum & rectosigmoid",14,11.8,9.1,14.9,7.8,13.3,9.4,18.4,6.2,10.4,7,14.9,3.2,2.6,1.5,4.3,2.6,4.6,2.4,8,0.6,0.8,0.2,2.7,"Jefferson"
"578","Liver / intrahepatic bile duct",7.8,6.8,4.8,9.3,4.8,8.5,5.4,12.8,3,5,2.8,8.4,4.6,4,2.5,6.1,2.2,4.3,2.1,7.7,2.4,3.8,1.9,6.7,"Jefferson"
"579","Pancreas",14.6,12.7,9.9,16,8,14.4,10.2,19.7,6.6,11,7.5,15.5,10.6,9.5,7.1,12.5,5.6,10.6,7,15.4,5,8.3,5.3,12.4,"Jefferson"
"580","Larynx",6.2,5.1,3.4,7.3,4.4,7.6,4.7,11.6,1.8,3.2,1.4,6.1,1.8,1.3,0.6,2.6,1.4,2.3,0.9,4.9,0.4,0.6,0.1,2.3,"Jefferson"
"581","Lung and bronchus",108.8,93.7,85.9,102.1,55.6,104.7,92.5,118.1,53.2,84.7,74.6,95.8,61.4,52.9,47,59.2,30.2,58.7,49.5,69.1,31.2,49,41.5,57.5,"Jefferson"
"582","Melanoma of the skin",35.4,31.3,26.8,36.4,20,38.3,31,46.9,15.4,26.7,20.9,33.7,2.8,2.3,1.2,3.9,2.2,3.8,1.9,6.9,0.6,0.9,0.2,2.8,"Jefferson"
"583","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,74.2,126.6,113.6,140.6,NA,NA,NA,NA,NA,NA,NA,NA,10.4,17.7,13.1,23.5,"Jefferson"
"584","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,3.4,7,4,11.3,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.4,0.3,3.8,"Jefferson"
"585","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,19.4,31.8,25.6,39.1,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3.6,1.9,6.5,"Jefferson"
"586","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,8.4,13.6,9.8,18.6,NA,NA,NA,NA,NA,NA,NA,NA,4.6,7.7,4.8,11.7,"Jefferson"
"587","Prostate",NA,NA,NA,NA,78.2,136.7,123.2,151.3,NA,NA,NA,NA,NA,NA,NA,NA,9.6,19.7,14.4,26.2,NA,NA,NA,NA,"Jefferson"
"588","Testis",NA,NA,NA,NA,7.2,10.1,6.9,14.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.4,NA,NA,NA,NA,"Jefferson"
"589","Urinary bladder (incl. in situ)",34.4,30,25.6,35,25.8,51.1,42.4,60.9,8.6,13.2,9.4,17.9,5.6,4.7,3.1,6.8,3.8,8,4.7,12.5,1.8,2.2,1,4.4,"Jefferson"
"590","Kidney and renal pelvis",22.2,19.5,16,23.6,14.2,27.1,21,34.4,8,13.5,9.6,18.5,3.6,3.1,1.8,5,1.8,3.5,1.6,6.6,1.8,2.5,1.1,5,"Jefferson"
"591","Brain and other central nervous system",8.8,8,5.7,10.8,5,9.4,6,14,3.8,7.2,4.3,11.3,4.4,3.9,2.4,6,2.6,5,2.6,8.7,1.8,3,1.4,5.9,"Jefferson"
"592","Thyroid",14,12.7,9.8,16.2,4,6.7,4,10.6,10,19.2,14.1,25.6,0.4,0.4,0,1.4,0.2,0.5,0,2.4,0.2,0.2,0,1.7,"Jefferson"
"593","Hodgkin lymphoma",2.4,2.4,1.2,4.2,1.6,3.1,1.3,6.2,0.8,1.7,0.4,4.2,0.6,0.6,0.1,1.7,0.4,0.8,0.1,3,0.2,0.3,0,2,"Jefferson"
"594","Non-Hodgkin lymphomas",25.6,23,19.1,27.5,14,28,21.7,35.5,11.6,19.4,14.6,25.3,4.2,3.9,2.4,6,2.2,5.2,2.6,9.1,2,3.2,1.5,6,"Jefferson"
"595","Myeloma",8.6,7.8,5.6,10.6,3.4,5.9,3.4,9.6,5.2,9.2,5.9,13.7,3.8,3.3,2,5.2,1.6,2.6,1.1,5.3,2.2,3.7,1.8,6.8,"Jefferson"
"596","Leukemias",22,19.2,15.8,23.3,13.2,25,19.1,31.9,8.8,15.5,11.1,21,7.2,6.2,4.3,8.7,4,7.6,4.6,11.9,3.2,5,2.8,8.4,"Jefferson"
"597","All Invasive Malignant Tumors",12082.6,441.7,438.1,445.3,5758.6,487.8,482,493.6,6324,414.4,409.8,419.1,3543.2,129.5,127.5,131.4,1707.8,152.9,149.7,156.3,1835.4,114.5,112.1,116.9,"Kings"
"598","Oral cavity and pharynx",256,9.4,8.9,9.9,167,14,13,15,89,5.8,5.3,6.4,52.2,1.9,1.7,2.2,37.2,3.2,2.8,3.7,15,0.9,0.7,1.2,"Kings"
"599","Esophagus",88.2,3.2,2.9,3.5,62.8,5.4,4.8,6.1,25.4,1.6,1.3,1.9,58,2.1,1.9,2.4,43.2,3.8,3.3,4.4,14.8,0.9,0.7,1.2,"Kings"
"600","Stomach",309,11.4,10.8,12,179.2,15.6,14.6,16.7,129.8,8.3,7.6,8.9,143,5.3,5,5.8,82.8,7.5,6.8,8.3,60.2,3.8,3.3,4.2,"Kings"
"601","Colorectal",1076.8,39.5,38.4,40.6,541,46.8,45,48.6,535.8,34.3,33,35.6,352.4,12.8,12.2,13.4,169,15.1,14.1,16.2,183.4,11.1,10.4,11.9,"Kings"
"602","Colon excluding rectum",754.6,27.6,26.7,28.5,364.2,31.6,30.2,33.2,390.4,24.9,23.8,26,294,10.6,10.1,11.2,139,12.4,11.5,13.4,155,9.4,8.7,10,"Kings"
"603","Rectum & rectosigmoid",322.2,11.9,11.3,12.5,176.8,15.1,14.1,16.2,145.4,9.4,8.7,10.1,58.4,2.1,1.9,2.4,30,2.7,2.2,3.1,28.4,1.8,1.5,2.1,"Kings"
"604","Liver / intrahepatic bile duct",287.4,10.2,9.7,10.7,204.8,16.6,15.6,17.7,82.6,5.2,4.7,5.7,175.2,6.3,5.9,6.7,118,9.8,9,10.7,57.2,3.6,3.2,4,"Kings"
"605","Pancreas",378.2,13.7,13.1,14.4,177.4,15.2,14.2,16.3,200.8,12.5,11.8,13.4,275.6,10,9.5,10.6,130,11.4,10.5,12.3,145.6,9,8.3,9.7,"Kings"
"606","Larynx",75.6,2.7,2.4,3,60.6,5.1,4.5,5.7,15,0.9,0.7,1.2,22.6,0.8,0.7,1,18.8,1.6,1.3,2,3.8,0.2,0.1,0.4,"Kings"
"607","Lung and bronchus",1245.4,45.5,44.3,46.6,669.4,58.7,56.6,60.7,576,36.4,35,37.8,682,25,24.1,25.9,383.8,34.4,32.9,36,298.2,18.5,17.6,19.5,"Kings"
"608","Melanoma of the skin",228.6,8.5,8,9,118,10.4,9.5,11.3,110.6,7.2,6.6,7.9,20,0.7,0.6,0.9,12.4,1.1,0.8,1.4,7.6,0.5,0.3,0.7,"Kings"
"609","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,1791.4,120.5,118,123.1,NA,NA,NA,NA,NA,NA,NA,NA,316.6,20.2,19.2,21.3,"Kings"
"610","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,140.6,9.8,9.1,10.6,NA,NA,NA,NA,NA,NA,NA,NA,41.2,2.7,2.4,3.2,"Kings"
"611","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,528.4,33.7,32.4,35,NA,NA,NA,NA,NA,NA,NA,NA,124.2,7.7,7.1,8.3,"Kings"
"612","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,176.6,11.6,10.8,12.4,NA,NA,NA,NA,NA,NA,NA,NA,106.2,6.7,6.1,7.3,"Kings"
"613","Prostate",NA,NA,NA,NA,1551.8,126.3,123.5,129.2,NA,NA,NA,NA,NA,NA,NA,NA,209.4,19.8,18.6,21,NA,NA,NA,NA,"Kings"
"614","Testis",NA,NA,NA,NA,64.2,4.9,4.4,5.5,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.1,0.1,0.2,NA,NA,NA,NA,"Kings"
"615","Urinary bladder (incl. in situ)",433.2,15.9,15.3,16.6,329.8,29.7,28.3,31.2,103.4,6.6,6,7.2,90.4,3.3,3,3.6,60.8,5.8,5.1,6.5,29.6,1.7,1.5,2.1,"Kings"
"616","Kidney and renal pelvis",402.4,14.6,14,15.3,257.2,21.4,20.2,22.6,145.2,9.4,8.7,10.1,61.4,2.2,2,2.5,41.4,3.6,3.2,4.2,20,1.2,1,1.5,"Kings"
"617","Brain and other central nervous system",159.2,5.9,5.5,6.3,86.4,7.1,6.4,7.8,72.8,5,4.5,5.5,77.8,2.9,2.6,3.2,43.6,3.7,3.2,4.2,34.2,2.3,1.9,2.6,"Kings"
"618","Thyroid",575.6,21.5,20.7,22.4,133.2,10.9,10.1,11.8,442.4,30.8,29.5,32.2,14.8,0.5,0.4,0.7,4.4,0.4,0.2,0.6,10.4,0.6,0.5,0.8,"Kings"
"619","Hodgkin lymphoma",84.8,3.2,2.9,3.5,43.8,3.5,3.1,4,41,2.9,2.5,3.3,7,0.3,0.2,0.4,3.4,0.3,0.2,0.5,3.6,0.2,0.1,0.4,"Kings"
"620","Non-Hodgkin lymphomas",512.8,18.9,18.2,19.7,272,23.1,21.9,24.4,240.8,15.7,14.8,16.6,102.8,3.8,3.5,4.1,50.4,4.6,4,5.2,52.4,3.3,2.9,3.7,"Kings"
"621","Myeloma",259,9.5,9,10,129,11.2,10.3,12.1,130,8.3,7.6,8.9,79.6,2.9,2.6,3.2,38.4,3.5,3,4,41.2,2.5,2.2,2.9,"Kings"
"622","Leukemias",364.8,13.6,12.9,14.2,194.4,16.8,15.7,17.9,170.4,11.2,10.4,12,125.2,4.6,4.3,5,63.2,5.7,5.1,6.4,62,3.9,3.5,4.4,"Kings"
"623","All Invasive Malignant Tumors",176.6,499.9,466.3,535.5,92.2,527.1,478.6,579.4,84.4,479.7,432.8,530.6,72,197.2,177,219.4,37.2,219.3,188.4,254.1,34.8,182,154.9,212.9,"Lewis"
"624","Oral cavity and pharynx",4.2,11.9,7.2,18.7,3,16.8,9.1,28.9,1.2,6.3,2.3,14.8,1.4,3.7,1.5,8.1,0.8,4.9,1.3,13.3,0.6,2.3,0.5,8.8,"Lewis"
"625","Esophagus",1,2.6,0.8,6.7,1,5.7,1.8,14.2,0,0,0,5.8,1,2.7,0.9,6.9,1,5.5,1.8,13.8,0,0,0,5.8,"Lewis"
"626","Stomach",1.6,4.4,1.9,9,1.6,8.8,3.7,18.2,0,0,0,5.8,1,2.7,0.9,6.8,0.6,3.4,0.7,10.9,0.4,2.1,0.2,8.9,"Lewis"
"627","Colorectal",17.6,54.7,43.4,68.2,8,49.8,35.2,68.7,9.6,60.4,43.5,81.7,7,19.8,13.6,28,4,25.2,15.3,39.5,3,15.4,8.3,26.8,"Lewis"
"628","Colon excluding rectum",12,36.6,27.5,47.7,5,32.1,20.4,48.1,7,41.6,28.3,59.3,5.4,15.2,9.9,22.6,2.8,17.1,9.2,29.4,2.6,13.6,6.9,24.6,"Lewis"
